type,name,alias
HYYLTGP,银行业龙头股票,
HYYPMQ10GP,银行业排名前十股票,
HGYLTGP,化工业龙头股票,
HGYPMQ10GP,化工业排名前十股票,
GTYLTGP,钢铁业龙头股票,
GTYPMQ10GP,钢铁业排名前十股票,
CJYLTGP,采掘业龙头股票,
CJYPMQ10GP,采掘业排名前十股票,
ZHYLTGP,综合业龙头股票,
ZHYPMQ10GP,综合业排名前十股票,
QCYLTGP,汽车业龙头股票,
QCYPMQ10GP,汽车业排名前十股票,
CMYLTGP,传媒业龙头股票,
CMYPMQ10GP,传媒业排名前十股票,
DZYLTGP,电子业龙头股票,
DZYPMQ10GP,电子业排名前十股票,
TXYLTGP,通信业龙头股票,
TXYPMQ10GP,通信业排名前十股票,
YSJSYLTGP,有色金属业龙头股票,
YSYPMQ10GP,有色金属业排名前十股票,
GFJGYLTGP,国防军工业龙头股票,
GFJGYPMQ10GP,国防军工业排名前十股票,
SPYLYLTGP,食品饮料业龙头股票,
SPYLYPMQ10GP,食品饮料业排名前十股票,
ssrs,实时热搜,
ztzz,涨停追踪,
zlyd,机构抢筹,
dfgz,多方关注,
jjzc,基金增仓,
ybtj,研报推荐,
DNO,曙光初现,
MAS,身怀六甲,
SLL,挽袖线,
TRR,红三兵,
BRE,穿头破脚,
ILG,仙人指路,
RCT,一阳三线,
HRW,出水芙蓉,
MCN,多方炮,
LLS,长下影线,
GND,金针探底,
RSL,上升通道,
PFB,平台突破,
BXB,箱体突破,
TRG,两阳夹一阴,
TGW,两阴夹一阳,
RSG,阳包阴,
GSR,阴包阳,
SDR,假阳线,
SDG,假阴线,
RCL,阳十字星,
GCL,阴十字星,
ALG,均线粘合,
ALR,均线多头排列,
TGTW,两阴夹两阳,
TRTG,两阳夹两阴,
JGJMRD,机构净买入多,
MRJGSJD,买入机构数较多,
SBCCZT,上榜初次涨停,
HYYYBJMR,活跃营业部净买入,
QXNXF,七仙女下凡,
SJZX,射击之星,
KDSJ4404,黄昏之星,
KDSJ5443,早晨之星,
KDSJ34073,平步青云,
KDSJ34301,BRAR死叉,
KDSJ100035,接受调查,
KDSJ100041,收到处罚,
KDSJ120004,减持评级,
KDSJ100002,高管持股变动,
KDSJ100024,不减持,
KDSJ34064,大阳包大阴,
ZT1010,传感器,
ZT1587,虚拟数字人,
ZT1586,汽车芯片,
ZT1585,动力电池回收,
ZT1584,EDR概念,
zbgz,指标共振,
SH,沪A,
SZ,深A,
ZXB,中小板,
CYB,创业板,
ZB,主板,
KCB,科创板,
bmxg,白马优选,
czql,成长潜力,
jpft,破净反弹,
zljlr5,大单买入,
YH,银行,
SP,食品饮料,
JG,国防军工,
TXSB,通信,
YSJS,有色金属,
DZI,电子,
CMEI,传媒,
QCHE,汽车,
HGONG,化工,
GTIE,钢铁,
CJUE,采掘,
WRJ,无人机,
ZXJY,在线教育,
HLWQC,互联网汽车,
MYYH,民营银行,
TYHK,通用航空,
WLW,物联网,
JJZHC,基金重仓,
QGZZ,轻工制造,
JTYS,交通运输,
YYSW,医药生物,
DQZB,电气设备,
FZFZ,纺织服装,
SYMY,商业贸易,
JZFS,建筑装饰,
FDZ,房地产,
GGSY,公用事业,
NLMY,农林牧渔,
JSJ,计算机,
JXSB,机械设备,
FYJR,非银金融,
XXFW,休闲服务,
JJCL,建筑材料,
JYDQ,家用电器,
BJ,北京,
SHB,上海,
SZB,深圳,
GZ1,广州,
JS,江苏,
ZJ,浙江,
JX,江西,
TJ,天津,
HB1,河北,
NMG,内蒙古,
LN,辽宁,
JL,吉林,
HLJ,黑龙江,
AH,安徽,
FJ,福建,
SD,山东,
HN1,河南,
HB2,湖北,
HN2,湖南,
GX,广西,
HN3,海南,
CQ,重庆,
SC1,四川,
GZ,贵州,
YN,云南,
XZ,西藏,
SX,陕西,
GS,甘肃,
QH,青海,
NX,宁夏,
XJ,新疆,
